Country Name,Country Code,Gini index_2018,Gini index_2019,Gini index_2020,Gini index_2021,Gini index_2022,Risk of impoverishing expenditure for surgical care (% of people at risk)_2018,Risk of impoverishing expenditure for surgical care (% of people at risk)_2019,Risk of impoverishing expenditure for surgical care (% of people at risk)_2020,Risk of impoverishing expenditure for surgical care (% of people at risk)_2021,Risk of impoverishing expenditure for surgical care (% of people at risk)_2022,"Inflation, consumer prices (annual %)_2018","Inflation, consumer prices (annual %)_2019","Inflation, consumer prices (annual %)_2020","Inflation, consumer prices (annual %)_2021","Inflation, consumer prices (annual %)_2022",Lending interest rate (%)_2018,Lending interest rate (%)_2019,Lending interest rate (%)_2020,Lending interest rate (%)_2021,Lending interest rate (%)_2022,Multidimensional poverty headcount ratio (World Bank) (% of population)_2018,Multidimensional poverty headcount ratio (World Bank) (% of population)_2019,Multidimensional poverty headcount ratio (World Bank) (% of population)_2020,Multidimensional poverty headcount ratio (World Bank) (% of population)_2021,Multidimensional poverty headcount ratio (World Bank) (% of population)_2022
Afghanistan,AFG,,,,,,,,,,,0.626149149,2.302372515,,,,,,,,,,,,,
Albania,ALB,30.1,30.1,29.4,,,2.5,2.2,2.2,3.8,1.8,2.028059631,1.41109079,1.620886617,2.041471631,6.725202715,5.9325,6.275833333,6.120833333,6.021666667,6.506666667,0.3,,,,
Algeria,DZA,35.4,32.3,31.616666666666667,,,29.5,29.4,31.5,29.6,29.1,4.269990205,1.951768211,2.415130941,7.226063074,9.265515516,8.0,8.0,8.0,8.0,8.0,12.025000000000002,,,,
American Samoa,ASM,40.7,34.5,33.833333333333336,,,36.36666666666667,36.833333333333336,39.93333333333333,38.3,37.46666666666667,9.38963946,6.994830187333333,9.033933710666666,13.402140342666666,13.295440387333333,12.22566801,11.765122403333333,11.88529831,11.801051543333331,12.03907046,23.750000000000004,,,,
Andorra,AND,46.0,36.7,36.05,,,43.23333333333333,44.266666666666666,48.36666666666666,47.0,45.833333333333336,14.509288715,12.037892163666664,15.652736480333331,19.578217611333333,17.325365258666665,16.45133602,15.530244806666666,15.77059662,15.602103086666666,16.078140920000003,35.475,,,,
Angola,AGO,51.3,38.9,38.266666666666666,,,50.1,51.7,56.8,55.7,54.2,19.62893797,17.08095414,22.27153925,25.75429488,21.35529013,20.67700403,19.29536721,19.65589493,19.40315463,20.11721138,47.2,,,,
Antigua and Barbuda,ATG,46.5,41.1,40.48333333333333,,,28.45,30.25,33.349999999999994,32.150000000000006,30.950000000000003,1.207157934,1.431355982,0.625989707,2.062996385,7.531078346,8.976532,8.611329083,7.68383775,7.39227225,7.31490375,24.15,,,,
Argentina,ARG,41.7,43.3,42.7,42.4,40.7,6.8,8.8,9.9,8.6,7.7,1.863695877,1.437401295,0.9187127425,4.6239163395,8.085994718,48.51666667,67.25416667,29.3875,35.55833333,52.39916667,1.1,1.1,1.2,0.9,0.6
Armenia,ARM,34.4,30.0,25.1,27.9,27.9,9.6,4.2,2.5,3.9,3.3,2.52023382,1.443446608,1.211435778,7.184836294,8.64091109,12.79304193,12.14198895,11.61984251,11.76190876,11.71941396,1.3,1.0,0.4,0.5,0.8
Aruba,ABW,34.349999999999994,30.066666666666663,26.666666666666668,28.83333333333333,28.685714285714283,4.85,2.1,1.3,2.0,2.2,3.626041414,4.257462043,1.0291706575,5.024373358,7.617503901499999,6.0,5.7,6.8,6.4,6.1,1.75,0.9,0.5333333333333333,0.5666666666666667,1.6285714285714286
Australia,AUS,34.3,30.133333333333333,28.23333333333333,29.766666666666666,29.47142857142857,0.1,0.0,0.1,0.1,1.1,1.911400944,1.610767873,0.846905537,2.863910422,6.594096713,5.260833333,5.101,10.259400406666666,9.741987936666666,8.929930833333334,2.2,0.7999999999999999,0.6666666666666667,0.6333333333333333,2.4571428571428573
Austria,AUT,30.8,30.2,29.8,30.7,30.257142857142856,0.0,0.0,0.0,0.0,0.0,1.998379814,1.530895642,1.381910634,2.766666667,8.546869932,11.3545833315,11.191107585,13.718800813333331,13.083975873333332,11.759861666666666,0.6,0.7,0.8,0.7,3.2857142857142856
Azerbaijan,AZE,29.866666666666667,29.383333333333333,28.9,30.114285714285717,31.04285714285714,19.475,18.975,18.75,17.8,16.825,2.268546904,2.610571828,2.75980947,6.650299127,13.85225901,17.44833333,17.28121517,17.17820122,16.42596381,14.5897925,1.2166666666666666,1.1166666666666667,0.7857142857142857,0.7,4.114285714285714
"Bahamas, The",BHS,28.933333333333334,28.566666666666663,28.0,29.52857142857143,31.828571428571426,38.95,37.95,37.5,35.6,33.65,2.265863467,2.491235274,0.038521098,2.904912629,5.605406336,4.25,4.25,4.25,4.25,4.25,1.833333333333333,1.5333333333333332,0.7714285714285715,0.7,4.942857142857142
Bahrain,BHR,28.0,27.75,27.1,28.942857142857143,32.614285714285714,58.425,56.925,56.25,53.400000000000006,50.475,2.08766938,1.005820047,-2.317706293,-0.606319385,3.625741043,6.9504166665,6.9029166665,6.2725,5.7870833335,5.6855467135,2.45,1.95,0.7571428571428571,0.7,5.771428571428571
Bangladesh,BGD,27.066666666666663,26.933333333333334,26.2,28.357142857142858,33.4,77.9,75.9,75.0,71.2,67.3,5.543621395,5.591996399,5.691074747,5.545654308,7.696954372,9.650833333,9.555833333,8.295,7.324166667,7.121093427,3.0666666666666664,2.3666666666666667,0.7428571428571429,0.7,6.6
Barbados,BRB,26.133333333333333,26.116666666666667,25.3,27.77142857142857,32.7,39.3,38.2,37.7,35.75,34.1,3.673814104,4.100289645,5.619609161,7.502969102,11.453314821,8.05,8.05,8.05,8.05,8.05,3.683333333333333,2.783333333333333,0.7285714285714285,0.7,5.842857142857143
Belarus,BLR,25.2,25.3,24.4,27.185714285714287,32.0,0.7,0.5,0.4,0.3,0.9,4.872302206,5.59815595,5.548143575,9.460283896,15.20967527,8.695833333,9.023333333,9.0325,10.1175,12.71583333,4.3,3.2,0.7142857142857142,0.7,5.085714285714285
Belgium,BEL,27.2,27.2,26.0,26.6,31.3,0.0,0.0,0.0,0.0,0.0,2.053164999,1.43681957,0.740791812,2.440248511,9.597511729,8.905416666499999,9.045,8.883333333500001,9.2779166665,10.619662423,0.7,0.8,0.7,0.7,4.328571428571428
Belize,BLZ,32.55,30.08,29.52,30.5,30.6,27.8,35.7,38.5,35.7,34.5,0.269982623,0.187069385,0.121434645,3.235636592,6.276893194,9.115,9.066666667,8.734166667,8.438333333,8.523491516,27.0,1.76,1.88,23.05,3.571428571428571
Benin,BEN,37.9,32.96,33.04,34.4,29.9,64.0,63.9,30.333333333333336,28.833333333333336,26.53333333333333,0.919170718,0.732849371,3.022721197,1.733539627,1.350778636,6.763333333,6.688333333,6.5375,6.25,10.348994344,53.3,2.72,3.06,45.4,2.814285714285714
Bermuda,BMU,39.46666666666667,35.84,36.56,36.56666666666666,29.2,57.4,44.7,22.166666666666668,21.96666666666667,18.56666666666667,1.82156729,1.7296398725,4.3260432115,4.540177016,3.494972675,10.3816666665,10.3441666665,10.26875,10.125,12.174497172,38.4,3.68,4.24,31.766666666666666,2.057142857142857
Bhutan,BTN,41.03333333333333,38.72,40.08,38.73333333333333,28.5,50.8,25.5,14.0,15.1,10.6,2.723963862,2.726430374,5.629365226,7.346814405,5.639166714,14.0,14.0,14.0,14.0,14.0,23.5,4.64,5.42,18.133333333333333,1.3
Bolivia,BOL,42.6,41.6,43.6,40.9,34.375,44.2,42.7,48.1,44.5,43.5,2.272059872,1.83954505,0.940742153,0.737383721,1.746328729,8.037242527,8.39953171,7.592223722,8.01711817,7.764988722,8.6,5.6,6.6,4.5,2.0
Bosnia and Herzegovina,BIH,46.36666666666667,45.56666666666667,45.36666666666667,44.9,40.25,3.6,3.3,3.5,3.1,2.9,2.7550377305,2.3062047395,1.4155506605,3.9891806885,6.7059481045,3.790281369,3.287227158,3.071874132,3.201292795,3.360816559,7.733333333333333,5.766666666666667,5.633333333333333,3.966666666666667,2.7
Botswana,BWA,50.13333333333333,49.53333333333333,47.13333333333333,48.9,46.125,37.7,38.0,37.9,38.1,37.5,3.238015589,2.772864429,1.890359168,7.240977656,11.66556748,6.5,6.395833333,5.75,5.25,6.1323,6.866666666666666,5.933333333333333,4.666666666666666,3.4333333333333336,3.3999999999999995
Brazil,BRA,53.9,53.5,48.9,52.9,52.0,19.0,18.3,13.9,18.3,24.1,3.664850284,3.732976212,3.211768038,8.301659756,9.28010609,39.08333333,37.475,29.04166667,30.01666667,39.4,6.0,6.1,3.7,2.9,4.1
British Virgin Islands,VGB,49.7,49.1,46.1,48.266666666666666,50.78333333333333,15.233333333333333,14.233333333333334,11.333333333333334,34.75,17.6,2.3449510385,1.6712270715000002,2.576044002,5.0175368205,6.481178198,22.291666665,21.4875,17.270833335,17.758333335,22.45,4.5,4.533333333333333,2.733333333333333,2.3666666666666667,10.5
Brunei Darussalam,BRN,45.5,44.7,43.3,43.63333333333333,49.56666666666666,11.466666666666663,10.166666666666666,8.766666666666666,51.2,11.1,1.025051793,-0.390522069,1.940319966,1.733413885,3.682250306,5.5,5.5,5.5,5.5,5.5,3.0,2.966666666666667,1.7666666666666666,1.8333333333333333,16.900000000000002
Bulgaria,BGR,41.3,40.3,40.5,39.0,48.35,7.7,6.1,6.2,67.64999999999999,4.6,2.814544738,3.103729448,1.672440969,3.297744353,15.32525893,4.963225,4.549208333,4.336633333,4.116183333,3.745958333,1.5,1.4,0.8,1.3,23.300000000000004
Burkina Faso,BFA,43.0,38.86666666666667,39.0,37.4,47.13333333333333,84.3,84.2,84.3,84.1,82.2,1.955943027,-3.23338934,1.884439938,3.653532872,14.29023543,6.763333333,6.688333333,6.5375,6.25,7.7592291665,60.5,1.7461538461538462,40.0,53.0,29.700000000000003
Burundi,BDI,40.9,37.43333333333333,37.5,38.6,45.91666666666666,100.0,51.2,100.0,100.0,100.0,-2.814698077,-0.686772171,7.321106434,8.404538451,18.80087867,14.78916667,14.53333333,12.195,12.85833333,11.7725,62.85,2.092307692307692,79.2,50.0,36.10000000000001
Cabo Verde,CPV,38.8,36.0,38.55555555555556,39.8,44.7,18.8,18.2,21.8,21.7,28.0,1.256995667,1.106666743,0.605795808,1.862152975,7.930929254,8.97292567,9.140834759,8.194514843,7.619285668,7.831720303,65.2,2.4384615384615382,70.6,47.0,42.50000000000001
Cambodia,KHM,36.7,34.56666666666666,39.61111111111112,41.0,43.48333333333333,34.75,34.2,36.6,36.15,39.25,2.459085154,1.942575008,2.940295143,2.920734776,5.343702649,8.3735623675,8.608519785777778,7.767346527111111,7.256031704888889,7.444862491555556,67.55,2.7846153846153845,62.0,44.0,48.90000000000001
Cameroon,CMR,34.6,33.13333333333333,40.66666666666666,42.2,42.266666666666666,50.7,50.2,51.4,50.6,50.5,1.068858113,2.452802141,2.437608822,2.271857625,6.247677133,7.774199065,8.076204812555556,7.340178211222223,6.892777741777778,7.058004680111111,69.9,3.1307692307692307,53.4,41.0,55.30000000000001
Canada,CAN,32.5,31.7,41.72222222222222,42.46666666666667,41.05,0.0,0.0,0.1,0.0,0.0,2.268225672,1.949269024,0.716999632,3.395193185,6.802801153,7.174835762500001,7.543889839333334,6.913009895333333,6.529523778666666,6.671146868666667,72.25,3.476923076923077,44.8,36.8375,61.70000000000001
Cayman Islands,CYM,34.166666666666664,32.78333333333333,42.77777777777778,42.73333333333333,39.83333333333333,26.9,26.566666666666663,26.933333333333334,27.366666666666664,27.9,1.940191271,2.3173212885,1.2135781135,3.82727868,6.1929842525000005,6.57547246,7.011574866111111,6.485841579444444,6.166269815555555,6.284289057222222,74.6,3.823076923076923,36.2,32.675,68.10000000000001
Central African Republic,CAF,35.833333333333336,33.86666666666667,43.833333333333336,43.0,38.61666666666667,53.8,53.13333333333333,53.766666666666666,54.73333333333333,55.8,1.61215687,2.685373553,1.710156595,4.259364175,5.583167352,5.9761091575,6.479259892888889,6.058673263555555,5.803015852444444,5.897431245777778,76.94999999999999,4.169230769230769,27.599999999999994,28.512500000000003,74.50000000000001
Chad,TCD,37.5,34.95,44.888888888888886,41.175,37.4,80.7,79.7,80.6,82.1,83.7,4.274621986,-0.971939175,4.464144372,-0.77284437,5.788026878,5.376745855,5.946944919666667,5.6315049476666665,5.439761889333333,5.510573434333333,79.3,4.515384615384615,18.999999999999996,24.35,80.9
Channel Islands,CHI,37.833333333333336,36.03333333333333,45.94444444444444,39.35,40.2,43.35,43.9,43.65,48.2,57.900000000000006,3.3547559,0.7928027910000001,3.75481761,1.8758620065,8.715946794,4.777382552500001,5.414629946444444,5.204336631777777,5.076507926222222,5.123715622888889,60.75,4.861538461538462,10.399999999999991,20.1875,40.7
Chile,CHL,38.16666666666666,37.11666666666667,47.0,37.525000000000006,43.0,6.0,8.1,6.7,14.3,32.1,2.434889814,2.557544757,3.045490848,4.524568383,11.64386671,4.17801925,4.882314973222222,4.777168315888888,4.713253963111111,4.736857811444445,42.2,5.207692307692307,1.8,16.025000000000002,0.5
China,CHN,38.5,38.2,37.1,35.7,48.9,15.1,13.3,12.9,6.7,6.3,2.0747904,2.899234164,2.419421895,0.981015136,1.973575557,4.35,4.35,4.35,4.35,4.35,23.64999999999999,5.553846153846154,4.8,11.862500000000004,3.5
Colombia,COL,50.4,51.3,53.5,55.1,54.8,18.1,18.7,22.3,17.8,25.1,3.240569329,3.523019327,2.526635001,3.495057574,10.17723135,12.11487774,11.76906538,9.850524251,9.337848409,15.80750887,5.1,5.9,7.8,7.7,6.5
Comoros,COM,49.8,50.525,49.1,53.5,52.9,58.00000000000001,45.2,44.8,45.2,45.8,2.5446392073333333,3.0840372373333333,2.282880491,2.901919301,7.799302015666667,10.5,10.5,8.09375,7.875,8.03375,4.25,4.7250000000000005,45.7,6.1,5.125
"Congo, Dem. Rep.",COD,49.2,49.75,44.7,51.900000000000006,51.0,97.9,56.65,98.0,34.233333333333334,98.0,1.8487090856666664,2.6450551476666666,2.039125981,2.3087810280000003,5.421372681333334,24.74833333,26.73583333,25.95849371,23.28572419,7.809450244,3.4,3.5500000000000003,83.6,4.5,3.75
"Congo, Rep.",COG,48.6,48.975,46.95,50.3,49.1,73.0,68.1,55.5,23.266666666666666,68.0,1.152778964,2.206073058,1.795371471,1.715642755,3.043443347,17.935812105,17.740991469999997,16.298288043,14.398968255,7.585150488,2.55,2.375,42.95,2.8999999999999995,2.375
Costa Rica,CRI,48.0,48.2,49.2,48.7,47.2,11.2,11.5,13.0,12.3,10.4,2.221114615,2.096046353,0.724911478,1.726477551,8.274774902,11.12329088,8.74614961,6.638082376,5.51221232,7.360850732,1.7,1.2,2.3,1.3,1.0
Cote d'Ivoire,CIV,37.2,38.55,39.35,35.3,46.18,99.9,99.8,99.7,100.0,100.0,0.359409031,-1.10686344,2.425006568,4.091951897,5.276167243,9.8596783795,7.9027967055,6.0891198205,5.127197822166666,6.838210473,37.3,0.8999999999999999,1.4,29.2,1.1
Croatia,HRV,29.7,28.9,29.5,28.9,45.16,0.3,0.2,0.3,0.2,0.1,1.50012501,0.771820346,0.154811375,2.554506996,10.78058068,8.596065879000001,7.059443801,5.540157265,4.742183324333333,6.315570214,0.7,0.6,0.5,0.5,1.2
Cuba,CUB,30.7,29.666666666666664,30.23333333333333,29.7,44.14,0.3333333333333333,0.2,0.2333333333333333,0.1666666666666666,0.1666666666666666,2.041906288,1.69701409,-0.109600016,2.518367554666667,9.985548113333332,7.3324533785,6.2160908965,4.9911947095,4.3571688265,5.792929955,0.9,0.7999999999999999,0.7000000000000001,0.6333333333333333,1.3
Curacao,CUW,31.700000000000003,30.433333333333334,30.966666666666665,30.5,43.120000000000005,0.3666666666666667,0.2,0.1666666666666666,0.1333333333333333,0.2333333333333333,2.583687566,2.622207834,-0.374011407,2.482228113333333,9.190515546666669,6.0688408780000005,5.372737991999999,4.442232154,3.972154328666667,5.270289696,1.1,1.0,0.9000000000000001,0.7666666666666666,1.4
Cyprus,CYP,32.7,31.2,31.7,31.3,42.1,0.4,0.2,0.1,0.1,0.3,1.435491195,0.250370997,-0.638422798,2.446088672,8.39548298,4.805228377500001,4.5293850875,3.8932695985,3.5871398308333333,4.747649437,1.3,1.2,1.1,0.9,1.5
Czechia,CZE,25.0,25.3,26.2,26.2,41.08,0.2,0.1,0.05,0.05,0.15,2.149494949,2.847875959,3.161295285,3.839844915,15.10016515,3.541615877,3.686032183,3.344307043,3.202125333,4.225009178,0.0,0.0,0.0,0.1,1.6
Denmark,DNK,28.2,27.7,27.5,28.3,40.06,0.0,0.0,0.0,0.0,0.0,0.813609467,0.758131573,0.420711974,1.85304544,7.696566999,4.965150557,4.970675011,4.529230889666667,4.234055638666667,4.995670035333333,0.9,0.9,1.2,0.7,1.7000000000000002
Djibouti,DJI,33.36666666666667,32.43333333333333,31.53333333333333,31.7,39.04,3.233333333333333,2.533333333333333,2.1,1.7333333333333334,2.5,0.14797085,3.319253727,1.777407838,1.181917753,5.17980848,6.388685237000001,6.255317839,5.714154736333333,5.265985944333334,5.766330892666667,1.4,1.4,1.7666666666666666,1.0666666666666669,1.8
Dominica,DMA,38.53333333333333,37.16666666666666,35.56666666666667,35.1,38.02,6.466666666666666,5.066666666666666,4.2,3.466666666666667,5.0,0.989191119,1.504623539,-0.727116413,1.48319445,7.780615252,7.812219917,7.539960667,6.899078583,6.29791625,6.53699175,1.9,1.9,2.333333333333333,1.4333333333333331,1.9
Dominican Republic,DOM,43.7,41.9,39.6,38.5,37.0,9.7,7.6,6.3,5.2,7.5,3.56443426,1.81060377,3.781031799,8.24300348,8.811092093,12.5337,12.48676667,10.97964167,9.608308333,11.85005,2.4,2.4,2.9,1.8,2.0
Ecuador,ECU,45.4,45.7,47.3,45.8,45.5,22.5,23.2,27.8,23.7,22.7,-0.224103246,0.266012515,-0.338872393,0.133251386,3.466169722,15.425183335,14.30171667,11.17315417,9.5166541665,11.216691665,3.8,4.2,7.1,4.3,4.0
"Egypt, Arab Rep.",EGY,42.0,31.9,43.98,42.4,42.15,27.3,27.7,25.2,23.7,23.2,14.40146578,9.152799593,5.04493289,5.214049405,13.89566098,18.31666667,16.11666667,11.36666667,9.425,10.58333333,4.449999999999999,2.3,5.8,5.3,4.75
El Salvador,SLV,38.6,38.8,40.66,39.0,38.8,14.8,14.6,16.5,13.5,12.9,1.090330006,0.075324135,-0.371590212,3.466925853,7.198616156,16.715833336,14.918333336,10.6850000026,8.99,10.166666664,5.1,4.4,4.5,6.3,5.5
Equatorial Guinea,GNQ,35.833333333333336,36.13333333333333,37.34,36.6,38.39230769230769,10.9,10.733333333333333,11.833333333333332,16.62,15.86,1.060074107,1.53027529,4.766695239,-0.097100766,4.786717047,15.115000002,13.720000002,10.0033333352,8.555,9.749999998,3.5666666666666664,3.2,3.1999999999999997,4.333333333333333,5.407692307692308
Eritrea,ERI,33.06666666666667,33.46666666666667,34.02,34.2,37.98461538461538,7.0,6.866666666666666,7.166666666666666,19.74,18.82,2.2482004955,1.903767301,2.1610820705,2.278032986,12.0924902285,13.514166668,12.521666668,9.3216666678,8.120000000000001,9.333333332,2.033333333333333,2.0,1.8999999999999997,2.3666666666666667,5.315384615384615
Estonia,EST,30.3,30.8,30.7,31.8,37.57692307692307,3.1,3.0,2.5,22.86,21.78,3.436326884,2.277259312,-0.444531098,4.653166738,19.39826341,11.913333334,11.323333334,8.6400000004,7.685,8.916666666,0.5,0.8,0.6,0.4,5.223076923076923
Eswatini,SWZ,29.7,30.775,29.98,30.98,37.169230769230765,22.25,2.4,2.0,25.98,24.74,4.815061675,2.598016203,9.955907880999998,15.746344449000002,26.64407156,10.3125,10.125,7.958333333,7.25,8.5,0.62,1.0,0.76,0.6200000000000001,5.13076923076923
Ethiopia,ETH,29.1,30.75,29.26,30.16,36.76153846153846,41.4,1.8,1.5,29.1,27.7,13.83303566,15.80963217,20.35634686,26.83952216,33.88987971,8.767442197666666,8.759152238666667,7.367189739333333,6.814140433333334,7.477296363,0.74,1.2000000000000002,0.92,0.8400000000000001,5.038461538461538
